protocol_id,protocol_name,dataset,dataset_type,source_path,model_version,training_scope,description,risk_bonus,threshold,n_samples,n_normal,n_spam,accuracy,precision_spam,recall_spam,f1_spam,macro_f1,weighted_f1,balanced_accuracy,false_positive_rate,true_negative,false_positive,false_negative,true_positive,roc_auc,pr_auc,recall_at_precision_90,recall_at_precision_95
A,In-domain main holdout,main_holdout,binary,data/processed/spam_message_20k.tsv,v0_char_logreg,main_only,字符级 TF-IDF + Logistic Regression,0.0,0.5,6000,5396,604,0.9773333333333334,0.8323863636363636,0.9701986754966887,0.8960244648318043,0.9416523371671179,0.9780937978722551,0.9741653125444896,0.021868050407709415,5278.0,118.0,18.0,586.0,0.996732004084458,0.9769815584059013,0.9602649006622517,0.8857615894039735
A,In-domain main holdout,main_holdout,binary,data/processed/spam_message_20k.tsv,v1_char_svm,main_only,字符级 TF-IDF + Linear SVM,0.0,0.0,6000,5396,604,0.987,0.9021406727828746,0.9768211920529801,0.9379968203497615,0.9653678013497085,0.9872280915083329,0.982480277271857,0.011860637509266123,5332.0,64.0,14.0,590.0,0.9985609894992121,0.9900016104716218,0.9768211920529801,0.9552980132450332
A,In-domain main holdout,main_holdout,binary,data/processed/spam_message_20k.tsv,v2_csn_svm,main_only,CSN 归一化 + Linear SVM,0.0,0.0,6000,5396,604,0.987,0.9021406727828746,0.9768211920529801,0.9379968203497615,0.9653678013497085,0.9872280915083329,0.982480277271857,0.011860637509266123,5332.0,64.0,14.0,590.0,0.9985609894992121,0.989987315945623,0.9768211920529801,0.9552980132450332
A,In-domain main holdout,main_holdout,binary,data/processed/spam_message_20k.tsv,v3_csn_aug,main_only,CSN 归一化 + 关键词增强,0.0,0.0,6000,5396,604,0.9835,0.87518573551263,0.9751655629139073,0.9224745497259201,0.9566210294092624,0.9838926845163584,0.9797992380914977,0.015567086730911787,5312.0,84.0,15.0,589.0,0.9982299250364508,0.9879501416331138,0.9685430463576159,0.945364238410596
A,In-domain main holdout,main_holdout,binary,data/processed/spam_message_20k.tsv,v4_bad_case,main_only,v3 + bad-case 风险分数 + 固定阈值,0.1,0.35,6000,5396,604,0.9901666666666666,0.9534109816971714,0.9486754966887417,0.9510373443983402,0.9727859255572062,0.9901557923760873,0.9717432338892189,0.005189028910303929,5368.0,28.0,31.0,573.0,0.9986711397699546,0.989980543534922,0.9784768211920529,0.9486754966887417
A,In-domain main holdout,main_holdout,binary,data/processed/spam_message_20k.tsv,v5_main_fusion,main_only,主数据 v5 max-score 分数融合,0.4,0.4,6000,5396,604,0.9916666666666667,0.9555921052631579,0.9619205298013245,0.9587458745874587,0.9770555476014787,0.9916788731153428,0.9784584116760514,0.005003706449221645,5369.0,27.0,23.0,581.0,0.9988776331744388,0.9910299067836204,0.9817880794701986,0.9619205298013245
A,In-domain main holdout,main_holdout,binary,data/processed/spam_message_20k.tsv,v6_csn_multisource,main_plus_external_adapt,多来源训练 CSN 关键词增强,0.0,0.0,6000,5396,604,0.979,0.8453757225433526,0.9685430463576159,0.9027777777777778,0.9455032386646737,0.9796266400930077,0.9743567715109058,0.0198295033358043,5289.0,107.0,19.0,585.0,0.9970713528294197,0.9808436118821776,0.9552980132450332,0.9056291390728477
A,In-domain main holdout,main_holdout,binary,data/processed/spam_message_20k.tsv,v6_fusion_multisource,main_plus_external_adapt,多来源训练 max-score 分数融合,0.3,0.15,6000,5396,604,0.9843333333333333,0.8840361445783133,0.9718543046357616,0.9258675078864353,0.9585543279275636,0.9846602015337446,0.9787922375662129,0.014269829503335805,5319.0,77.0,17.0,587.0,0.9978893489904221,0.9846388783150594,0.9635761589403974,0.9221854304635762
A,In-domain main holdout,main_holdout,binary,data/processed/spam_message_20k.tsv,v7_bridge,main_plus_external_adapt,v5 主数据模型与 v6 多来源模型桥接,0.0,0.35,6000,5396,604,0.989,0.9256329113924051,0.9685430463576159,0.9466019417475728,0.9702351960688812,0.9891102885201661,0.9799164453433743,0.008710155670867309,5349.0,47.0,19.0,585.0,0.9987024359471575,0.9899359646664584,0.9817880794701986,0.9586092715231788
B,Zero-shot cross-domain,fbs_mixed_holdout,binary,data/processed/fbs_mixed_eval.tsv,v0_char_logreg,main_only,字符级 TF-IDF + Logistic Regression,0.0,0.5,7000,3500,3500,0.9112857142857143,0.9758677685950413,0.8434285714285714,0.9048275862068965,0.9108753315649867,0.9108753315649868,0.9112857142857143,0.02085714285714286,3427.0,73.0,548.0,2952.0,0.9704949387755102,0.9742436303626343,0.9405714285714286,0.9102857142857143
B,Zero-shot cross-domain,fbs_mixed_holdout,binary,data/processed/fbs_mixed_eval.tsv,v1_char_svm,main_only,字符级 TF-IDF + Linear SVM,0.0,0.0,7000,3500,3500,0.9148571428571428,0.9862692565304756,0.8414285714285714,0.9081097748997842,0.9143955848148109,0.914395584814811,0.9148571428571428,0.011714285714285714,3459.0,41.0,555.0,2945.0,0.9785520816326532,0.9826334630694877,0.9568571428571429,0.9302857142857143
B,Zero-shot cross-domain,fbs_mixed_holdout,binary,data/processed/fbs_mixed_eval.tsv,v2_csn_svm,main_only,CSN 归一化 + Linear SVM,0.0,0.0,7000,3500,3500,0.9147142857142857,0.9862646566164154,0.8411428571428572,0.9079414032382421,0.9142501427368855,0.9142501427368857,0.9147142857142858,0.011714285714285714,3459.0,41.0,556.0,2944.0,0.978545306122449,0.9826128983510288,0.9568571428571429,0.9311428571428572
B,Zero-shot cross-domain,fbs_mixed_holdout,binary,data/processed/fbs_mixed_eval.tsv,v3_csn_aug,main_only,CSN 归一化 + 关键词增强,0.0,0.0,7000,3500,3500,0.9131428571428571,0.9842598794373744,0.8397142857142857,0.9062596361393771,0.9126720059855788,0.912672005985579,0.9131428571428571,0.013428571428571429,3453.0,47.0,561.0,2939.0,0.9765708571428571,0.9809440814842252,0.9494285714285714,0.9234285714285714
B,Zero-shot cross-domain,fbs_mixed_holdout,binary,data/processed/fbs_mixed_eval.tsv,v4_bad_case,main_only,v3 + bad-case 风险分数 + 固定阈值,0.1,0.35,7000,3500,3500,0.8391428571428572,0.9949958298582152,0.6817142857142857,0.8090878263818243,0.8350548981329018,0.8350548981329018,0.8391428571428572,0.0034285714285714284,3488.0,12.0,1114.0,2386.0,0.9766144489795919,0.9808241595843896,0.95,0.9208571428571428
B,Zero-shot cross-domain,fbs_mixed_holdout,binary,data/processed/fbs_mixed_eval.tsv,v5_main_fusion,main_only,主数据 v5 max-score 分数融合,0.4,0.4,7000,3500,3500,0.839,0.9937578027465668,0.6822857142857143,0.8090801287480942,0.8349463877036754,0.8349463877036754,0.839,0.004285714285714286,3485.0,15.0,1112.0,2388.0,0.9770106938775511,0.9802126672074469,0.9525714285714286,0.9257142857142857
C,Few-shot domain adaptation,fbs_mixed_holdout,binary,data/processed/fbs_mixed_eval.tsv,v3_csn_aug,main_only,CSN 归一化 + 关键词增强,0.0,0.0,7000,3500,3500,0.9131428571428571,0.9842598794373744,0.8397142857142857,0.9062596361393771,0.9126720059855788,0.912672005985579,0.9131428571428571,0.013428571428571429,3453.0,47.0,561.0,2939.0,0.9765708571428571,0.9809440814842252,0.9494285714285714,0.9234285714285714
C,Few-shot domain adaptation,fbs_mixed_holdout,binary,data/processed/fbs_mixed_eval.tsv,v5_main_fusion,main_only,主数据 v5 max-score 分数融合,0.4,0.4,7000,3500,3500,0.839,0.9937578027465668,0.6822857142857143,0.8090801287480942,0.8349463877036754,0.8349463877036754,0.839,0.004285714285714286,3485.0,15.0,1112.0,2388.0,0.9770106938775511,0.9802126672074469,0.9525714285714286,0.9257142857142857
C,Few-shot domain adaptation,fbs_mixed_holdout,binary,data/processed/fbs_mixed_eval.tsv,v6_csn_multisource,main_plus_external_adapt,多来源训练 CSN 关键词增强,0.0,0.0,7000,3500,3500,0.9832857142857143,0.9806763285024155,0.986,0.9833309588260436,0.9832855911448654,0.9832855911448654,0.9832857142857143,0.019428571428571427,3432.0,68.0,49.0,3451.0,0.9980630204081632,0.9982253532770898,0.996,0.9934285714285714
C,Few-shot domain adaptation,fbs_mixed_holdout,binary,data/processed/fbs_mixed_eval.tsv,v6_fusion_multisource,main_plus_external_adapt,多来源训练 max-score 分数融合,0.3,0.15,7000,3500,3500,0.9831428571428571,0.9864787111622555,0.9797142857142858,0.9830848623853211,0.9831426589830934,0.9831426589830934,0.9831428571428571,0.013428571428571429,3453.0,47.0,71.0,3429.0,0.9978829387755103,0.9979812432711219,0.996,0.994
C,Few-shot domain adaptation,fbs_mixed_holdout,binary,data/processed/fbs_mixed_eval.tsv,v7_bridge,main_plus_external_adapt,v5 主数据模型与 v6 多来源模型桥接,0.0,0.35,7000,3500,3500,0.9788571428571429,0.9900584795321637,0.9674285714285714,0.9786127167630058,0.9788543809803729,0.9788543809803729,0.9788571428571429,0.009714285714285713,3466.0,34.0,114.0,3386.0,0.9973275918367347,0.9975431014495132,0.9954285714285714,0.9928571428571429
B,Zero-shot cross-domain,hf_chinese_spam_10000_holdout,binary,data/processed/hf_chinese_spam_10000.tsv,v0_char_logreg,main_only,字符级 TF-IDF + Logistic Regression,0.0,0.5,6959,3471,3488,0.49633568041385256,0.33962264150943394,0.005160550458715597,0.010166619598983339,0.33620020292852704,0.3354037420984362,0.4975385005246617,0.010083549409392106,3436.0,35.0,3470.0,18.0,0.5474363765036119,0.5187047947496611,0.0,0.0
B,Zero-shot cross-domain,hf_chinese_spam_10000_holdout,binary,data/processed/hf_chinese_spam_10000.tsv,v1_char_svm,main_only,字符级 TF-IDF + Linear SVM,0.0,0.0,6959,3471,3488,0.49863486133065094,0.48936170212765956,0.006594036697247707,0.013012729844413012,0.33849134036283063,0.3376962352645675,0.49983980140826084,0.006914433880726016,3447.0,24.0,3465.0,23.0,0.5261620530793811,0.5170620679767968,0.0,0.0
B,Zero-shot cross-domain,hf_chinese_spam_10000_holdout,binary,data/processed/hf_chinese_spam_10000.tsv,v2_csn_svm,main_only,CSN 归一化 + Linear SVM,0.0,0.0,6959,3471,3488,0.49863486133065094,0.48936170212765956,0.006594036697247707,0.013012729844413012,0.33849134036283063,0.3376962352645675,0.49983980140826084,0.006914433880726016,3447.0,24.0,3465.0,23.0,0.527848867021375,0.5171397598814619,0.0,0.0
B,Zero-shot cross-domain,hf_chinese_spam_10000_holdout,binary,data/processed/hf_chinese_spam_10000.tsv,v3_csn_aug,main_only,CSN 归一化 + 关键词增强,0.0,0.0,6959,3471,3488,0.5334099726972266,0.8283378746594006,0.0871559633027523,0.1577172503242542,0.41752502683160936,0.41689034768221644,0.5345027871829232,0.018150388936905792,3408.0,63.0,3184.0,304.0,0.5829751063199934,0.60308476369511,0.0,0.0
B,Zero-shot cross-domain,hf_chinese_spam_10000_holdout,binary,data/processed/hf_chinese_spam_10000.tsv,v4_bad_case,main_only,v3 + bad-case 风险分数 + 固定阈值,0.1,0.35,6959,3471,3488,0.5138669349044402,0.8387096774193549,0.03727064220183486,0.07136975020587429,0.37106200405670847,0.370329891926307,0.515034053454706,0.007202535292422933,3446.0,25.0,3358.0,130.0,0.5836829701669667,0.6043660399395039,0.0,0.0
B,Zero-shot cross-domain,hf_chinese_spam_10000_holdout,binary,data/processed/hf_chinese_spam_10000.tsv,v5_main_fusion,main_only,主数据 v5 max-score 分数融合,0.4,0.4,6959,3471,3488,0.515735019399339,0.8511904761904762,0.040997706422018346,0.07822757111597374,0.37491577347457233,0.3741909998806513,0.5168975855647977,0.007202535292422933,3446.0,25.0,3345.0,143.0,0.5781027398708565,0.6045826537850514,0.0005733944954128441,0.0005733944954128441
C,Few-shot domain adaptation,hf_chinese_spam_10000_holdout,binary,data/processed/hf_chinese_spam_10000.tsv,v3_csn_aug,main_only,CSN 归一化 + 关键词增强,0.0,0.0,6959,3471,3488,0.5334099726972266,0.8283378746594006,0.0871559633027523,0.1577172503242542,0.41752502683160936,0.41689034768221644,0.5345027871829232,0.018150388936905792,3408.0,63.0,3184.0,304.0,0.5829751063199934,0.60308476369511,0.0,0.0
C,Few-shot domain adaptation,hf_chinese_spam_10000_holdout,binary,data/processed/hf_chinese_spam_10000.tsv,v5_main_fusion,main_only,主数据 v5 max-score 分数融合,0.4,0.4,6959,3471,3488,0.515735019399339,0.8511904761904762,0.040997706422018346,0.07822757111597374,0.37491577347457233,0.3741909998806513,0.5168975855647977,0.007202535292422933,3446.0,25.0,3345.0,143.0,0.5781027398708565,0.6045826537850514,0.0005733944954128441,0.0005733944954128441
C,Few-shot domain adaptation,hf_chinese_spam_10000_holdout,binary,data/processed/hf_chinese_spam_10000.tsv,v6_csn_multisource,main_plus_external_adapt,多来源训练 CSN 关键词增强,0.0,0.0,6959,3471,3488,0.8880586291133784,0.9030050580184469,0.8701261467889908,0.8862607679953278,0.8880306527768407,0.8880263291611938,0.888102543287898,0.09392106021319505,3145.0,326.0,453.0,3035.0,0.9379238097314841,0.9466968674482306,0.8709862385321101,0.8125
C,Few-shot domain adaptation,hf_chinese_spam_10000_holdout,binary,data/processed/hf_chinese_spam_10000.tsv,v6_fusion_multisource,main_plus_external_adapt,多来源训练 max-score 分数融合,0.3,0.15,6959,3471,3488,0.8920821957177756,0.928862425571921,0.8497706422018348,0.8875580176673155,0.8919072033356608,0.8918965787981752,0.8921858108733174,0.06539902045520023,3244.0,227.0,524.0,2964.0,0.9383349406881131,0.9469320077729795,0.8709862385321101,0.8136467889908257
C,Few-shot domain adaptation,hf_chinese_spam_10000_holdout,binary,data/processed/hf_chinese_spam_10000.tsv,v7_bridge,main_plus_external_adapt,v5 主数据模型与 v6 多来源模型桥接,0.0,0.35,6959,3471,3488,0.8846098577381808,0.9485466087537587,0.8139334862385321,0.8760993673815769,0.8840628610472494,0.8840434071900406,0.8847829344186035,0.04436761740132527,3317.0,154.0,649.0,2839.0,0.9355694397088327,0.9451756151148403,0.869552752293578,0.8122133027522935
