protocol_id,protocol_name,dataset,dataset_type,source_path,model_version,training_scope,description,encoder,risk_bonus,threshold,n_samples,n_normal,n_spam,accuracy,precision_spam,recall_spam,f1_spam,macro_f1,weighted_f1,balanced_accuracy,false_positive_rate,true_negative,false_positive,false_negative,true_positive,roc_auc,pr_auc,recall_at_precision_90,recall_at_precision_95
A,In-domain main holdout,main_holdout,binary,data/processed/spam_message_20k.tsv,v8_semantic_main,main_only,Frozen sentence encoder + Logistic Regression,BAAI/bge-small-zh-v1.5,0.0,0.75,6000,5396,604,0.9923333333333333,0.9619205298013245,0.9619205298013245,0.9619205298013245,0.9788290565982161,0.9923333333333333,0.9788290565982161,0.004262416604892513,5373.0,23.0,23.0,581.0,0.998169787284179,0.9899528894721582,0.9784768211920529,0.9668874172185431
A,In-domain main holdout,main_holdout,binary,data/processed/spam_message_20k.tsv,v8_semantic_multisource,main_plus_external_adapt,Frozen sentence encoder + multi-source Logistic Regression,BAAI/bge-small-zh-v1.5,0.0,0.65,6000,5396,604,0.9716666666666667,0.8013888888888889,0.9552980132450332,0.8716012084592145,0.9278388207901168,0.9727539271717308,0.9643984506551333,0.026501111934766494,5253.0,143.0,27.0,577.0,0.9931363187840883,0.9531321995631641,0.8509933774834437,0.7483443708609272
B,Zero-shot cross-domain,fbs_mixed_holdout,binary,data/processed/fbs_mixed_eval.tsv,v8_semantic_main,main_only,Frozen sentence encoder + Logistic Regression,BAAI/bge-small-zh-v1.5,0.0,0.75,7000,3500,3500,0.6448571428571429,0.9875,0.2934285714285714,0.4524229074889868,0.5948161049072841,0.5948161049072841,0.6448571428571429,0.0037142857142857142,3487.0,13.0,2473.0,1027.0,0.9637791020408164,0.9627171447899266,0.9228571428571428,0.8437142857142857
C,Few-shot domain adaptation,fbs_mixed_holdout,binary,data/processed/fbs_mixed_eval.tsv,v8_semantic_multisource,main_plus_external_adapt,Frozen sentence encoder + multi-source Logistic Regression,BAAI/bge-small-zh-v1.5,0.0,0.65,7000,3500,3500,0.9708571428571429,0.9771279675738275,0.9642857142857143,0.9706643658326143,0.9708558843071672,0.9708558843071672,0.9708571428571429,0.022571428571428572,3421.0,79.0,125.0,3375.0,0.994062448979592,0.9941274080654213,0.9894285714285714,0.9805714285714285
B,Zero-shot cross-domain,hf_chinese_spam_10000_holdout,binary,data/processed/hf_chinese_spam_10000.tsv,v8_semantic_main,main_only,Frozen sentence encoder + Logistic Regression,BAAI/bge-small-zh-v1.5,0.0,0.75,6959,3471,3488,0.49877856013795085,0.5,0.0031536697247706424,0.0062678062678062675,0.33557049037448733,0.334766043524392,0.4999922770980523,0.0031691155286660906,3460.0,11.0,3477.0,11.0,0.5076558737666484,0.4949877888738203,0.0005733944954128441,0.0005733944954128441
C,Few-shot domain adaptation,hf_chinese_spam_10000_holdout,binary,data/processed/hf_chinese_spam_10000.tsv,v8_semantic_multisource,main_plus_external_adapt,Frozen sentence encoder + multi-source Logistic Regression,BAAI/bge-small-zh-v1.5,0.0,0.65,6959,3471,3488,0.8525650237103032,0.8851689612015019,0.8110665137614679,0.8464991023339318,0.8523344281368304,0.8523201731377429,0.8526666478343496,0.10573321809276866,3104.0,367.0,659.0,2829.0,0.9196884688731535,0.9249558848758535,0.7895642201834863,0.676605504587156
B,Zero-shot cross-domain,hf_chinese_conversation_spam_holdout,binary,data/processed/hf_chinese_conversation_and_spam.tsv,v8_semantic_main,main_only,Frozen sentence encoder + Logistic Regression,BAAI/bge-small-zh-v1.5,0.0,0.75,5412,3258,2154,0.753880266075388,0.9801401869158879,0.3895078922934076,0.5574750830564784,0.6935059060022601,0.7212549874013997,0.6921449835929898,0.0052179251074278695,3241.0,17.0,1315.0,839.0,0.8998583160485467,0.8836837860907293,0.6499535747446611,0.552924791086351
C,Few-shot domain adaptation,hf_chinese_conversation_spam_holdout,binary,data/processed/hf_chinese_conversation_and_spam.tsv,v8_semantic_multisource,main_plus_external_adapt,Frozen sentence encoder + multi-source Logistic Regression,BAAI/bge-small-zh-v1.5,0.0,0.65,5412,3258,2154,0.9199926090169993,0.8970927549607752,0.9025069637883009,0.8997917148808147,0.9166035308219236,0.9200329921668946,0.9170300319248441,0.06844689993861265,3035.0,223.0,210.0,1944.0,0.9742665436639644,0.9658249385323436,0.8974001857010213,0.8189415041782729
D,Adversarial robustness,adversarial,spam_only,data/processed/adversarial_eval.tsv,v8_semantic_main,main_only,Frozen sentence encoder + Logistic Regression,BAAI/bge-small-zh-v1.5,0.0,0.75,131,0,131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,131.0,,,,
D,Adversarial robustness,adversarial,spam_only,data/processed/adversarial_eval.tsv,v8_semantic_multisource,main_plus_external_adapt,Frozen sentence encoder + multi-source Logistic Regression,BAAI/bge-small-zh-v1.5,0.0,0.65,131,0,131,0.9923664122137404,1.0,0.9923664122137404,0.9961685823754789,0.49808429118773945,0.9961685823754788,0.9923664122137404,0.0,0.0,0.0,1.0,130.0,,,,
